0,Primer nombre,Apellido,37276469,Direcci,3257,Ciudad,5,C,Codigo postal,localidad,Provincia,Pais,Numero de telefono,Email,88346874,True
25,Cary,Rodriguez,18366650,Eusebio Davila ,9483,San Nicolas del Puerto,6,A,41388,,Seville,Spain,615 985 038,CaryTRodriguez@rhyta.com,20155688,True
26,John,Lytle,49067561,Plaza Colon ,9396,Logrono,1,B,26000,,La Rioja,Spain,725 526 550,JohnBLytle@dayrep.com,88293857,True
27,Mitchell,Smith,13316013,Rua do Paseo ,5416,San Juan de Aznalfarache,5,PB,41920,,Seville,Spain,737 164 481,MitchellMSmith@superrito.com,58432665,False
28,Thomas,Pfeiffer,15823828,Socampo ,8827,Molinillo,3,D,37683,,Salamanca,Spain,611 315 747,ThomasRPfeiffer@armyspy.com,83314438,True
29,Corinne,Vanek,33156884,Valadouro ,1654,Arrieta,3,PB,48114,,Biscay,Spain,774 437 430,CorinneBVanek@dayrep.com,20427360,True
30,Roland,North,24876892,Plaza Maior ,3942,Yecla de Yeltes,6,B,37219,,Salamanca,Spain,651 125 450,RolandMNorth@teleworm.us,45365330,True
31,Kara,Sullivan,23405170,Pza. Fuensanta ,1660,Melon,2,A,32411,,Ourense,Spain,611 487 116,KaraESullivan@rhyta.com,34656483,True
32,Ray,Rogers,40933605,Ctra. Villena ,3386,Paredes de Nava,5,C,34300,,Palencia,Spain,791 899 817,RayORogers@rhyta.com,26433087,True
33,Nicole,Nitz,17176731,Apartado de Correos ,5727,Rollan,4,E,37447,,Salamanca,Spain,614 018 889,NicoleDNitz@dayrep.com,30462830,True
34,Peter,Guzman,16968228,Puerto Lugar ,7245,Salares,4,F,29714,,Malaga,Spain,651 085 656,PeterMGuzman@cuvox.de,84572199,False
35,Michelle,Lewis,36060182,Camino Real ,3142,Munitibar-Arbatzegi Gerrikaitz,4,PB,48381,,Biscay,Spain,767 267 258,MichelleDLewis@dayrep.com,20215549,True
36,Jesus,Bourquin,11514486,Valadouro,3815,Garay,6,C,48191,,Biscay,Spain,639 016 255,JesusMBourquin@einrot.com,49960378,False
37,Reva,Bunch,31501425,Avenida Cervantes ,4196,Berriz,4,D,48240,,Biscay,Spain,725 271 479,RevaMBunch@jourrapide.com,38407878,True
38,Rey,Mitchell,20028031,Valadouro ,7352,Mungia,4,F,48100,,Biscay,Spain,728 243 856,ReyRMitchell@armyspy.com,87803136,False
39,Ann,Ellis,44721401,Alcon Molina ,5949,San Javier,5,PB,30730,,Murcia,Spain,603 342 484,AnnREllis@fleckens.hu,76044129,True
40,James,Grant,38248680,Ctra. Villena ,9052,Candamo,6,A,33829,,Asturias,Spain,768 492 512,JamesDGrant@armyspy.com,22017131,True
41,Edward,Sing,36937144,C/ Libertad ,8101,Tijola,6,C,4880,,Almeria,Spain,668 710 950,EdwardMSing@superrito.com,39471014,True
42,Thomas,Acuna,19185256,Maestro Puig Valera ,4296,Lena,2,PB,33630,,Asturias,Spain,732 739 601,ThomasLAcuna@superrito.com,47788930,False
43,David,Lewandowski,47441097,Constitucion ,1144,Carrascal de Barregas,4,C,37129,,Salamanca,Spain,640 657 604,DavidJLewandowski@superrito.com,67886177,False
44,James,Hasan,33603491,Apartado de Correos ,5361,Tardaguila,6,B,37429,,Salamanca,Spain,665 437 579,JamesOHasan@rhyta.com,56550977,True
45,Stephen,Smallwood,41774400,Enxertos ,6317,Monsagro,3,PB,37532,,Salamanca,Spain,751 336 986,StephenBSmallwood@cuvox.de,34802767,False
46,Robert,Johnson,48488277,Visitacion de la Encina ,680,Escurial de la Sierra,5,B,37762,,Salamanca,Spain,794 517 111,RobertTJohnson@gustr.com,84283401,True
47,Lashunda,Vestal,45984833,Alvaro Cunqueiro ,8892,La Puebla del Rio,2,E,41130,,Seville,Spain,617 084 025,LashundaCVestal@cuvox.de,62259646,False
48,Wilbur,Baxley,49348595,C/ Canarias ,149,Larraul,6,A,20159,,Guipuzcoa,Spain,783 973 584,WilburABaxley@cuvox.de,97021812,True
49,Linda,Jones,22655429,Alvaro Cunqueiro ,4887,Almensilla,6,B,41111,,Seville,Spain,795 836 151,LindaGJones@teleworm.us,23667763,True
50,Zana,Polansky,10584647,San Andres ,695,Saucelle,3,B,37257,,Salamanca,Spain,664 249 288,ZanaRPolansky@armyspy.com,62911427,False
51,Howard,Jones,13894934,Quevedo ,2707,Abegondo,2,F,15318,,A Coruna,Spain,664 488 008,HowardKJones@superrito.com,31624160,True
52,Christopher,Vaught,16971491,Urzaiz ,9753,Illescas,6,F,45200,,Toledo,Spain,779 741 819,ChristopherMVaught@cuvox.de,10866394,True
53,Lisa,Knuth,37063957,Salzillo ,7025,O Pereiro de Aguiar,2,F,32710,,Ourense,Spain,798 800 667,LisaHKnuth@jourrapide.com,90092432,True
54,Floyd,Tran,23189619,Escuadro ,1194,Tavernes de la Valldigna,3,B,46760,,Valencia,Spain,740 556 756,FloydTTran@gustr.com,42721596,True
55,Isabel,Peyton,37708529,Boucina ,1702,Valls,2,C,43800,,Tarragona,Spain,655 821 969,IsabelHPeyton@cuvox.de,19825849,False
56,Karen,Duarte,43869966,Ctra. Hornos,3871,Anguciana,5,B,26210,,La Rioja,Spain,661 623 925,KarenGDuarte@jourrapide.com,38465904,True
57,Richard,Piccirillo,43121709,C/ Andalucia ,7925,Antas,3,C,4628,,Almeria,Spain,798 185 555,RichardAPiccirillo@teleworm.us,99034475,True
58,Jean,Figueroa,40521686,Rua Olmos ,9806,Espino de la Orbada,5,C,37419,,Salamanca,Spain,605 028 728,JeanJFigueroa@fleckens.hu,37908086,True
59,Freddy,Davis,48501373,Carretera del Muelle,4630,Herbes,6,B,12317,,Castellon,Spain,795 737 090,FreddyLDavis@einrot.com,95842423,True
60,Charles,Dierks,21791121,C/ Cuesta del  alamo ,2558,Cuevas del Becerro,2,A,29470,,Malaga,Spain,779 127 293,CharlesTDierks@jourrapide.com,73027644,True
61,Jean,Hansen,14188380,Carretera Cadiz-Malaga ,5618,Leintz-Gatzaga,3,E,20530,,Guipuzcoa,Spain,614 788 804,JeanVHansen@fleckens.hu,30115221,False
62,James,Peters,32529082,Rua do Paseo ,3991,Valencina de la Concepcion,4,B,41907,,Seville,Spain,790 515 097,JamesJPeters@dayrep.com,54263761,True
63,Evelyn,Loudermilk,25243279,Crta. Cadiz-Malaga ,9834,Vallat,6,A,12230,,Castellon,Spain,679 799 355,EvelynALoudermilk@fleckens.hu,11193919,False
64,Alexander,Pell,13369299,Enxertos ,1072,Herguijuela de Ciudad Rodrigo,4,E,37516,,Salamanca,Spain,688 177 302,AlexanderRPell@superrito.com,45662100,True
65,Kara,Lindsey,25917570,Cercas Bajas ,8629,Montmelo,6,C,8160,,Barcelona,Spain,658 230 305,KaraCLindsey@cuvox.de,34500728,True
66,Andre,Perry,41748034,Paseo Junquera ,7942,Navajas,1,E,12470,,Castellon,Spain,698 437 058,AndreCPerry@einrot.com,93254623,True
67,Ricky,Bailey,11012816,C/ Senores Curas ,3277,El Bosque,3,D,11670,,Cadiz,Spain,683 576 248,RickyTBailey@einrot.com,33355403,True
68,Bernice,Munguia,13225909,Alcon Molina ,622,Orcoyen,1,D,31160,,Navarre,Spain,783 212 468,BerniceJMunguia@jourrapide.com,41100861,True
69,Bertha,Bader,43544115,Cartagena ,2314,Torre-Pacheco,1,F,30700,,Murcia,Spain,715 983 585,BerthaSBader@dayrep.com,45324739,True
70,Raymond,McGovern,37442893,Ctra. Beas-Cortijos Nuevos ,1741,Pradejon,5,A,26510,,La Rioja,Spain,775 769 985,RaymondMMcGovern@cuvox.de,84475194,True
71,Stella,Newberry,47003558,C/ Cuevas de Ambrosio ,1414,Alcala la Real,6,D,23680,,Jaen,Spain,626 278 395,StellaCNewberry@cuvox.de,76548803,True
72,Beverly,Butler,44815225,Carretera Cadiz-Malaga ,2286,Deba,1,A,20820,,Guipuzcoa,Spain,630 872 984,BeverlyDButler@dayrep.com,42627646,False
73,Regina,Solum,16204162,C/ Arana ,3436,Elche de la Sierra,2,D,2430,,Albacete,Spain,690 766 598,ReginaWSolum@jourrapide.com,21521081,True
74,Douglas,Wylie,41978968,Celso Emilio Ferreiro,3993,Sadaba,4,F,50670,,Zaragoza,Spain,621 252 211,DouglasNWylie@teleworm.us,14887082,False
75,William,Beck,12603859,Visitacion de la Encina,5987,Lagunilla,5,A,37724,,Salamanca,Spain,639 322 824,WilliamBBeck@armyspy.com,79127088,False
76,Richard,Pool,15220622,Paraguay ,1964,Salinas,3,F,3638,,Alicante,Spain,731 371 634,RichardMPool@armyspy.com,91407527,True
77,Crystal,Epps,37447581,Plaza de Espana ,1698,Vilasantar,5,A,15807,,A Coruna,Spain,652 094 353,CrystalREpps@dayrep.com,23885134,False
78,Alan,Goodyear,24890106,C/ Cuesta del  alamo ,1324,Juzcar,1,F,29462,,Malaga,Spain,769 072 442,AlanAGoodyear@armyspy.com,76715455,True
79,Iola,Bowman,20171361,C/ Canarias ,3080,Azuqueca de Henares,5,F,19200,,Guadalajara,Spain,763 673 209,IolaFBowman@dayrep.com,46788366,True
80,John,Conner,36299165,Ourense ,9049,Covaleda,2,A,42157,,Soria,Spain,638 909 771,JohnAConner@einrot.com,95787680,False
81,Abraham,Salinas,34284614,Quevedo ,1593,Curtis,5,D,15310,,A Coruna,Spain,659 385 999,AbrahamHSalinas@gustr.com,52682872,True
82,Hector,Romero,32774042,Pl. Virgen Blanca ,2620,Sallent,3,B,8650,,Barcelona,Spain,712 181 667,HectorBRomero@rhyta.com,59222511,True
83,Betty,Jackson,29299277,Paseo Junquera ,9425,Pavias,3,E,12449,,Castellon,Spain,650 226 635,BettyJJackson@cuvox.de,77190861,True
84,Juan,Rosenfeld,29400197,C/ Pablo Iglesias ,7947,Briones,3,C,26330,,La Rioja,Spain,684 980 761,JuanJRosenfeld@jourrapide.com,18126837,False
85,Jeanette,Munson,46909183,Socampo ,3314,Berrocal de Huebra,5,A,37609,,Salamanca,Spain,649 876 561,JeanetteAMunson@armyspy.com,96491565,True
86,Mathew,Ricketts,16871764,Rua do Paseo ,696,Camas,2,B,41900,,Seville,Spain,722 187 102,MathewCRicketts@jourrapide.com,76790616,True
87,Vera,Christian,22812460,Carretera del Muelle ,6298,la Mata de Morella,4,F,12312,,Castellon,Spain,690 583 263,VeraJChristian@teleworm.us,16566648,True
88,Deanna,Howard,21046288,Calle Aduana ,5211,Barrundia,2,F,1206,,alava,Spain,666 789 459,DeannaAHoward@armyspy.com,58632150,True
89,Margaret,Lau,48134247,Plaza de Espana ,5803,Vilasantar,1,D,15807,,A Coruna,Spain,713 768 119,MargaretJLau@teleworm.us,48000933,False
90,Bernard,King,34320308,Atamaria ,7779,Vilagarcia de Arousa,4,C,36600,,Pontevedra,Spain,632 058 255,BernardJKing@gustr.com,96717334,True
91,Sherry,Riegel,36601307,Avendano ,7583,Alcocer de Planes,5,F,3841,,Alicante,Spain,772 729 743,SherryFRiegel@teleworm.us,95175710,True
92,Linda,Vandyke,49930544,Zumalakarregi etorbidea ,5710,Campanet,2,C,7310,,Balearic Islands,Spain,661 004 015,LindaRVandyke@dayrep.com,40588070,True
93,Catherine,Madden,33587381,Avda. Andalucia ,5815,Hornillos de Cameros,2,F,26133,,La Rioja,Spain,662 122 709,CatherineMMadden@fleckens.hu,76813735,True
94,Annie,Topper,45935210,Avendano ,2406,Beniarres,1,A,3850,,Alicante,Spain,763 808 441,AnnieDTopper@fleckens.hu,60797527,False
95,Jimmy,Smith,32575999,Socampo ,5832,Aldeanueva de la Sierra,3,F,37691,,Salamanca,Spain,680 586 382,JimmyRSmith@jourrapide.com,35864824,True
96,Michael,Robinson,27551338,Constitucion ,6374,O Covelo,2,E,36872,,Pontevedra,Spain,763 496 465,MichaelPRobinson@cuvox.de,75051458,True
97,Martin,Waddell,45304017,Castelao ,1644,Berriatua,2,A,48710,,Biscay,Spain,770 977 368,MartinNWaddell@dayrep.com,90440628,True
98,Bailey,Garrett,43269799,Cercas Bajas ,9172,Terrassa,6,A,8220,,Barcelona,Spain,698 149 795,BaileyRGarrett@rhyta.com,89830396,False
99,James,Mattingly,47644554,Enxertos ,1087,Puebla de Azaba,2,B,37553,,Salamanca,Spain,734 064 777,JamesAMattingly@fleckens.hu,58940009,True
100,Suzanne,Edwards,38259410,Crta. Cadiz-Malaga ,6238,Argelita,4,A,12230,,Castellon,Spain,756 090 828,SuzanneBEdwards@jourrapide.com,68059241,True
101,Bernard,Brown,38903933,Ctra. Hornos ,2430,San Millan de la Cogolla,4,C,26226,,La Rioja,Spain,665 932 605,BernardABrown@jourrapide.com,39860357,True
102,Emmy,McLean,47859530,Av. Zumalakarregi ,4071,Los Montesinos,2,D,3187,,Alicante,Spain,758 689 187,EmmyTMcLean@rhyta.com,52736044,True
103,Charles,Lewis,19116288,C/ Cuevas de Ambrosio ,802,Linares,1,F,23700,,Jaen,Spain,718 914 245,CharlesLLewis@jourrapide.com,17491973,False
104,Levi,Johannes,26430374,Urzaiz ,7907,Mas de las Matas,6,C,44564,,Teruel,Spain,624 271 563,LeviJJohannes@einrot.com,57528012,True
105,Helen,Hornback,46240783,Cercas Bajas ,5056,Santa Eulalia del Rio,3,B,7840,,Balearic Islands,Spain,674 826 512,HelenAHornback@rhyta.com,90449723,True
106,Michael,Pruitt,30927295,Puerta Nueva ,2933,Crecente,2,C,36420,,Pontevedra,Spain,760 855 329,MichaelCPruitt@einrot.com,77732613,False
107,James,Lawrence,24055079,Canonigo Valino ,7544,Cullera,4,E,46400,,Valencia,Spain,685 737 136,JamesALawrence@fleckens.hu,65398439,False
108,John,Lambert,21617826,Plaza Colon ,3136,Cervera,6,F,25200,,Lleida,Spain,685 434 989,JohnSLambert@fleckens.hu,31697785,True
109,Michael,Busick,24618070,C/ Amoladera ,3163,Torrejon de Ardoz,4,B,28850,,Madrid,Spain,783 724 911,MichaelLBusick@rhyta.com,14872148,False
110,Jim,Lewis,33280997,Paraguay ,8601,Benimeli,2,F,3769,,Alicante,Spain,624 935 799,JimTLewis@armyspy.com,45460356,True
111,Richard,Melton,35573364,Extramuros ,251,Nuevo Baztan,3,F,28514,,Madrid,Spain,714 523 298,RichardTMelton@einrot.com,40970994,True
112,Judy,Marroquin,26209093,Avda. Explanada Barnuevo ,3377,Santa Brigida,4,B,35300,,Las Palmas,Spain,765 020 769,JudyFMarroquin@fleckens.hu,20681332,True
113,Danielle,Ramirez,23758158,C/ Canada del Rosal ,132,Ayamonte,5,PB,21400,,Huelva,Spain,727 529 984,DanielleJRamirez@superrito.com,48378054,True
114,William,Fryar,11770392,Cano ,5704,Parada de Sil,3,D,32740,,Ourense,Spain,758 300 837,WilliamLFryar@armyspy.com,54020674,False
115,Brian,Heier,22520798,Cercas Bajas ,7651,Sabadell,5,B,8200,,Barcelona,Spain,651 872 285,BrianYHeier@armyspy.com,38731600,False
116,Eugene,Fleming,13277048,Avenida Cervantes ,3008,Nabarniz,2,A,48312,,Biscay,Spain,795 552 215,EugeneSFleming@rhyta.com,28611470,True
117,Robert,Jacobson,45593912,Pascual Yunquera ,4263,Gorafe,2,A,18890,,Granada,Spain,715 773 395,RobertEJacobson@superrito.com,43025768,True
118,Michael,Edwards,37060678,Plazuela do Porto ,5956,La Orotava,4,B,38300,,Santa Cruz de Tenerife,Spain,714 863 034,MichaelOEdwards@cuvox.de,88013966,False
119,William,Whitted,13632941,Urzaiz ,3703,Montalban,1,E,44700,,Teruel,Spain,634 590 356,WilliamNWhitted@dayrep.com,53401062,False
120,Mark,Locke,46320888,Valadouro ,578,Arantzazu,3,F,48140,,Biscay,Spain,799 299 083,MarkMLocke@armyspy.com,96731080,True
121,Matthew,Jorden,22759133,Calle Aduana ,8998,Elciego,3,A,1340,,alava,Spain,634 849 235,MatthewJJorden@armyspy.com,40544587,False
122,Angela,Martinez,31244454,Rua de San Pedro ,4337,Calzada de Valdunciel,5,C,37797,,Salamanca,Spain,652 498 908,AngelaCMartinez@dayrep.com,35396567,False
123,Sean,Burke,34069971,Estrela ,6181,Castro-Urdiales,6,A,39700,,Cantabria,Spain,605 978 253,SeanRBurke@einrot.com,24111031,True
124,Sarah,Dominquez,21640162,Antonio Vazquez ,2064,Candelaria,2,B,38530,,Santa Cruz de Tenerife,Spain,625 352 304,SarahDDominquez@armyspy.com,40719526,True
125,Christopher,Charles,25026586,Calle Aduana ,5334,Laguardia,1,D,1300,,alava,Spain,732 821 819,ChristopherMCharles@einrot.com,73610357,True
126,Josephine,Simonton,10239062,Paraguay ,5439,la Romana,4,F,3669,,Alicante,Spain,791 228 962,JosephineJSimonton@jourrapide.com,91252883,True
127,George,Olson,24428025,Urzaiz ,311,Santa Eulalia,1,C,44360,,Teruel,Spain,651 664 665,GeorgeBOlson@cuvox.de,79778587,True
128,Mae,Stapleton,29422494,Atamaria ,3154,Cotobade,4,C,36856,,Pontevedra,Spain,662 458 474,MaeJStapleton@rhyta.com,28904154,False
129,James,Brown,26861303,Avda. Andalucia ,4540,Laguna de Cameros,6,A,26135,,La Rioja,Spain,770 355 600,JamesCBrown@teleworm.us,39716964,False
130,Lea,Hardy,14876387,Plaza Maior ,6200,Valderrodrigo,2,F,37219,,Salamanca,Spain,758 551 373,LeaDHardy@fleckens.hu,40287582,True
131,Irene,Roy,17052112,Inglaterra ,6167,Lecrin,4,A,18656,,Granada,Spain,794 447 729,IreneBRoy@fleckens.hu,14514535,False
132,Jean,Bannister,46616889,Ctra. de Siles ,6676,Panton,2,D,27430,,Lugo,Spain,797 183 524,JeanBBannister@armyspy.com,82607228,False
133,Sonya,Jordan,12035186,Plaza Colon ,6187,Almarza de Cameros,3,A,26111,,La Rioja,Spain,680 485 468,SonyaGJordan@teleworm.us,37571681,True
134,Louis,Love,21517913,Avda. Alameda Sundheim ,5792,La Guardia de Jaen,1,A,23170,,Jaen,Spain,666 626 590,LouisMLove@armyspy.com,25266869,True
135,Theresa,Urena,26751958,Canadilla ,2904,Gurrea de Gallego,6,C,22280,,Huesca,Spain,676 146 625,TheresaTUrena@teleworm.us,74142716,True
136,Janice,Livingston,22082983,Antonio Vazquez ,9801,Santa Cruz de la Palma,6,PB,38700,,Santa Cruz de Tenerife,Spain,650 703 744,JaniceWLivingston@fleckens.hu,81691971,True
137,Joseph,Carney,40560946,C/ Canarias ,8292,Donostia-San Sebastian,1,PB,20000,,Guipuzcoa,Spain,655 744 291,JosephCCarney@fleckens.hu,77774591,True
138,Hazel,Foltz,29790572,Valadouro ,1994,Gamiz-Fika,4,C,48113,,Biscay,Spain,780 171 204,HazelWFoltz@teleworm.us,26239338,False
139,Rodney,Head,21232658,Antonio Vazquez,8174,Vilaflor,3,B,38613,,Santa Cruz de Tenerife,Spain,728 838 358,RodneyJHead@rhyta.com,83887173,True
140,Rosella,Mahon,25144000,Rosa de los Vientos ,112,Aldea del Rey,3,E,13380,,Ciudad Real,Spain,727 477 185,RosellaJMahon@teleworm.us,55636175,True
141,Timothy,Farley,18733919,Enxertos ,1949,Campillo de Azaba,6,E,37550,,Salamanca,Spain,664 998 754,TimothyYFarley@gustr.com,95649669,True
142,Mark,Hawkins,49285709,Carretera Cadiz-Malaga ,2550,Zarautz,3,PB,20800,,Guipuzcoa,Spain,689 373 309,MarkTHawkins@einrot.com,49961024,True
143,Jordan,Hermann,32320178,C/ Rosa de los Vientos ,8272,Los Barrios,5,A,11370,,Cadiz,Spain,735 997 396,JordanJHermann@teleworm.us,10345912,True
144,Cathy,Campbell,20379855,Avda. Generalisimo,88,Castejon,6,A,31590,,Navarre,Spain,731 380 155,CathyJCampbell@armyspy.com,39733399,True
145,Daryl,Rosado,18250277,Avenida Cervantes ,5782,Elantxobe,6,B,48310,,Biscay,Spain,723 479 643,DarylORosado@gustr.com,50594771,True
146,Patricia,McCloud,22961619,Apartado de Correos ,1524,Frades de la Sierra,1,D,37457,,Salamanca,Spain,639 036 181,PatriciaLMcCloud@fleckens.hu,39071084,True
147,William,Winters,21056498,Crta. Cadiz-Malaga ,7357,Toga,5,A,12230,,Castellon,Spain,693 018 983,WilliamJWinters@dayrep.com,53881471,True
148,Fred,Bonnett,20309763,Avendano ,7869,Muro de Alcoy,5,D,3830,,Alicante,Spain,693 402 426,FredJBonnett@superrito.com,62080780,True
149,Timothy,Mansfield,26775275,Lamas Carbajal ,2905,Sanlucar la Mayor,2,C,41800,,Seville,Spain,666 517 623,TimothySMansfield@einrot.com,79822713,True
150,Eleanor,Cleary,40238908,C/ Los Herran ,8010,Montijo,2,PB,6480,,Badajoz,Spain,735 118 251,EleanorDCleary@armyspy.com,88738331,True
151,Steven,Collier,32620124,Visitacion de la Encina,9920,Puente del Congosto,3,B,37748,,Salamanca,Spain,656 370 450,StevenBCollier@rhyta.com,18659310,False
152,Maranda,Smith,24577625,Ctra. Beas-Cortijos Nuevos ,6478,Igea,2,A,26525,,La Rioja,Spain,643 046 024,MarandaJSmith@teleworm.us,43884085,False
153,Ashley,McCullough,33147233,Avendano ,3471,Sorbas,3,PB,4270,,Almeria,Spain,782 799 542,AshleyNMcCullough@jourrapide.com,56110879,False
154,Susan,Busby,18468049,Eusebio Davila ,2762,Cantillana,4,B,41320,,Seville,Spain,751 216 128,SusanMBusby@cuvox.de,94052253,True
155,Carolyn,Hare,14842551,Reisenor ,1128,Torrijos,4,C,45500,,Toledo,Spain,647 379 753,CarolynJHare@dayrep.com,63190310,True
156,Sun,Ellison,15081378,Cercas Bajas ,4797,Palau de Plegamans,5,D,8184,,Barcelona,Spain,717 569 495,SunSEllison@dayrep.com,84160627,False
157,Catherine,Helle,44763761,Celso Emilio Ferreiro ,4675,Torres de Berrellen,6,E,50693,,Zaragoza,Spain,744 284 146,CatherineKHelle@jourrapide.com,35642647,True
158,John,McCoy,41024409,C/ Libertad,3143,Sotillo de la Adrada,5,E,5420,,avila,Spain,766 442 494,JohnJMcCoy@teleworm.us,97678010,True
159,June,Smith,13250770,Calle Carril de la Fuente ,2481,Navalpino,6,D,13193,,Ciudad Real,Spain,710 775 684,JuneKSmith@superrito.com,29539810,True
160,Daisy,Schaefer,37889338,Ctra. de Siles ,6433,As Nogais,6,C,27677,,Lugo,Spain,710 082 279,DaisyLSchaefer@cuvox.de,98566583,True
161,Melinda,Gainey,31868654,Extramuros ,1720,Perales de Tajuna,3,E,28540,,Madrid,Spain,635 975 009,MelindaJGainey@gustr.com,78005740,True
162,Karin,Collin,34607805,Reisenor,7238,la Pobla de Farnals,5,B,46137,,Valencia,Spain,653 477 758,KarinMCollin@fleckens.hu,19272330,True
163,Melba,Donald,22035149,C/ Los Herran ,4668,Zafra,4,C,6300,,Badajoz,Spain,773 040 480,MelbaMDonald@teleworm.us,48569694,False
164,Susan,Weatherspoon,17695157,Apartado de Correos ,9451,Las Veguillas,5,D,37454,,Salamanca,Spain,636 354 807,SusanDWeatherspoon@einrot.com,57606875,False
165,Joan,Page,47648545,Maestro Puig Valera ,8364,Amieva,4,E,33558,,Asturias,Spain,725 920 224,JoanDPage@gustr.com,59171279,True
166,Robert,Roth,15097957,Avda. Explanada Barnuevo ,2031,Santibanez de la Pena,6,A,34870,,Palencia,Spain,793 766 857,RobertARoth@armyspy.com,71963726,True
167,Justin,Rowland,22973465,C/ Fernandez de Leceta ,354,Benidorm,1,B,3500,,Alicante,Spain,765 391 127,JustinLRowland@fleckens.hu,91777162,True
168,Alicia,Carl,24302461,Avda. Andalucia ,3742,Rabanera,5,C,26133,,La Rioja,Spain,667 483 066,AliciaJCarl@superrito.com,80520826,True
169,Ruth,Gonzales,30800704,Puerta Nueva ,8875,Vigo,6,D,36200,,Pontevedra,Spain,628 351 477,RuthMGonzales@einrot.com,61774192,True
170,Daniel,Masson,48906521,C/ Andalucia ,1910,Mojacar,3,B,4638,,Almeria,Spain,729 185 038,DanielGMasson@teleworm.us,77138446,True
